UASG,Modalidade da Licitação,Número do Aviso da Licitação,Identificador da Licitação,Tipo do Pregão,Situação do Aviso,Objeto,Informações Gerais,Número do Processo,Tipo de Recurso,Número de Itens na Licitação,Nome do Responsável,Função do Responsável,Data de Entrega do Edital,Endereço de Entrega do Edital,Data de Abertura da Proposta,Data de Entrega da Proposta,Data de Publicação,Itens da licitação > uri
201004: MP-COORDENAÇÃO GERAL DE AQUISIÇÕES,"1: CONVITE                                           ",00001/1997,20100401000011997,,Divulgado,Aquisição de móveis para a sala Brasil em Ação.,,,Nacional,4,,,31/12/1997 09:00,"Esplanada dos Ministérios, bl.k sala 135 - Plano Piloto/DF",07/01/1998 10:00,07/01/1998 10:00,,/licitacoes/id/licitacao/20100401000011997/itens
240101: MCT-COORD. GERAL DE RECURSOS LOGÍSTICOS/DF,"3: CONCORRÊNCIA                                      ",00001/1997,24010103000011997,,Publicado,"Contratação de empresa especializada para execução de serviços de fornecimento de bilhetes e ordens de passagens aéreas e terrestres, domésticas e internacionais.",,,Nacional,1,Antonio Alfredo dos Santos,Chefe de Divisão,09/07/1997 08:30,Esplanada dos Ministérios bloco E - sobreloja sala 140 - Plano Piloto/DF,08/08/1997 09:30,08/08/1997 09:30,07/07/1997,/licitacoes/id/licitacao/24010103000011997/itens
244001: FUNAG-FUNDACAO ALEXANDRE GUSMAO/DF,"1: CONVITE                                           ",00001/1997,24400101000011997,,Divulgado,Serviços gráficos.,,,Nacional,8,,,05/05/1997 08:30,Setor Policial Sul Area 05 quadra 03 Bloco A 1º andar - Asa Sul/DF,12/05/1997 10:00,12/05/1997 10:00,,/licitacoes/id/licitacao/24400101000011997/itens
244001: FUNAG-FUNDACAO ALEXANDRE GUSMAO/DF,"2: TOMADA DE PREÇOS                                  ",00001/1997,24400102000011997,,Publicado,Contratação de empresa que execute serviços gráficos.,,,Nacional,8,Ana Cristina Menezes,Coordenadora de Adm. e Finanças,11/07/1997 08:30,Setor Policial Sul Area 05 Q.03 - Asa Sul/DF,28/07/1997 10:00,28/07/1997 10:00,11/07/1997,/licitacoes/id/licitacao/24400102000011997/itens
323002: MME-DEPART.NAC.DE PROD.MINERAL/SEDE/DNPM/DF,"2: TOMADA DE PREÇOS                                  ",00001/1997,32300202000011997,,Publicado,"Contratação de empresa especializada para prestação de serviços de manutenção e corretiva de 2(dois) elevadores marca ATLAS, instalados no edi fício Sede do DNPM, em Brasília-DF.",,,Nacional,1,Paulo Rubens Soares Faro,Coordenador de Administração,26/05/1997 08:00,SAN QUADRA 01 BL. B SALA 306-B - Asa Norte/DF,11/06/1997 10:00,11/06/1997 10:00,26/05/1997,/licitacoes/id/licitacao/32300202000011997/itens
344041: MINC-FCP-FUNDACAO CULTURAL PALMARES/DF,"1: CONVITE                                           ",00001/1997,34404101000011997,,Publicado,Aquisicao de Material de_Consumo,,,Nacional,38,Haroldo de Lima Bizerril,Presidente da Comissao de Licitacao,08/05/1997 08:30,"SBN Q,02 Ed. Central Brasilia Primeiro Subsolo - Asa Norte/DF",15/05/1997 10:30,15/05/1997 10:30,07/05/1997,/licitacoes/id/licitacao/34404101000011997/itens
364001: CNPQ - ADMINISTRACAO CENTRAL/DF,"3: CONCORRÊNCIA                                      ",00001/1997,36400103000011997,,Publicado,"Seleção e contratação de empresa especializada na prestação de serviços de digitação de dados em atividades de interesse do CNPq,  em Brasília-DF.",,,Nacional,1,Luiz Soares Maia,Chefe do Serviço de Licitação,03/04/1997 09:00,CNPq - Av. w/3 Norte Q.507 - Bloco B - Serviço de Licitação - Asa Norte/DF,07/05/1997 15:00,07/05/1997 15:00,03/04/1997,/licitacoes/id/licitacao/36400103000011997/itens
373083: INCRA-SEDE/DF,"2: TOMADA DE PREÇOS                                  ",00001/1997,37308302000011997,,Publicado,"Aquisição de material de expediente, tais como: caixa de papelão, p apel pardo, fita adesiva, cilindro para copiadora, rolo de fusão, copos, ca neta destacadora de texto, caneta esferográfica, grampeador, clips, lápis,e nvelopes e outros, de acordo com as especificações contidas no Anexo I do Edital.",,,Nacional,92,Anuar José Elias Junior,Presidente da Comissão Permanente de Licitação,18/07/1997 09:00,"SBN, Edifício Palácio do Desenvolvimento, 7 Andar, Ala Sul - Asa Norte/DF",06/08/1997 10:00,06/08/1997 10:00,21/07/1997,/licitacoes/id/licitacao/37308302000011997/itens
390004: MT-CSG-COORD.-GERAL DE SERVICOS GERAIS/DF,"1: CONVITE                                           ",00001/1997,39000401000011997,,Divulgado,"Empresa especializada no ramo, para fornecimento de materiais de ex pediente.",,,Nacional,3,,,09/05/1997 08:00,Minist?rio dos Tranpsortes/Ed.Sede sala 123 sobreloja - Esplanada dos Minist?rios/DF,30/05/1997 09:00,30/05/1997 09:00,,/licitacoes/id/licitacao/39000401000011997/itens
390004: MT-CSG-COORD.-GERAL DE SERVICOS GERAIS/DF,"2: TOMADA DE PREÇOS                                  ",00001/1997,39000402000011997,,Publicado,"Contratação de empresa especializada no ramo, para fornecimento de materiais de expediente, conforme anexo ""I"" deste Edital.",,,Nacional,4,Pedro Carneiro de Souza,Chefe da Comissão Permanente de Licitação,12/05/1997 08:00,"Ministério dos Transportes - Sobreloja, sala 123 Ed. Sede - Plano Piloto/DF",30/05/1997 10:00,30/05/1997 10:00,12/05/1997,/licitacoes/id/licitacao/39000402000011997/itens
390004: MT-CSG-COORD.-GERAL DE SERVICOS GERAIS/DF,"3: CONCORRÊNCIA                                      ",00001/1997,39000403000011997,,Publicado,"Contratacao de empresa especializada no ramo, para prestacao dos servicos de assistencia a saude aos servidores inativos deste Ministerio e seus dependentes.",,,Nacional,1,Pedro Carneiro de Souza,Presidente da Comissao Permanente de Licitacao,06/05/1997 08:00,Ministerio dos Transportes - Bloco R Sobreloja sala 123 - Plano Piloto/DF,09/06/1997 10:30,09/06/1997 10:00,06/05/1997,/licitacoes/id/licitacao/39000403000011997/itens
"440001: SUBSECRET. DE PLANEJ., ORÇ. E ADMINISTRAÇÃO","2: TOMADA DE PREÇOS                                  ",00001/1997,44000102000011997,,Publicado,"Aquisição de mobiliário para atender ao Ministério do Meio Ambiente , dos Recursos Hídricos e da Amazônia Legal",,,Nacional,17,Sinval Cezário da Silva,Presidente da CPL Substituto,08/08/1997 09:00,"Ministério do Meio Ambiente, dos Rec. Hid. e da Amaz. Legal - Esplanada dos Ministérios, Bloco ""B""/DF",29/08/1997 10:00,29/08/1997 10:00,07/08/1997,/licitacoes/id/licitacao/44000102000011997/itens
510004: INSS - GERENCIA EXECUTIVA NO DF,"3: CONCORRÊNCIA                                      ",00001/1997,51000403000011997,,Publicado,"Contratação de empresa especializada na prestação de serviço de atu alização tecnológica de informática (UPGRADE),com fornecimento de componen tes.",,,Nacional,1,Israel Sousa Castro,Chefe do Núcleo - Substituto,16/04/1997 08:30,SAS Quadra 02 Bloco O sala 723 - Asa Sul/DF,09/06/1997 09:30,03/06/1997 09:30,16/04/1997,/licitacoes/id/licitacao/51000403000011997/itens
60001: STM _ SUPERIOR TRIBUNAL MILITAR/DF,"1: CONVITE                                           ",00001/1998,06000101000011998,,Publicado,Fornecimento mensal de gêneros alimentícios em geral.,,,Nacional,1,RAUL LOPES BIANGOLINO,Diretor da DIPAT,16/01/1998 14:00,"SAS, Pça Trib. Superiores/STM, 11º andar, sala 1102 - Asa Sul/DF",,26/01/1998 14:30,16/01/1998,/licitacoes/id/licitacao/06000101000011998/itens
60001: STM _ SUPERIOR TRIBUNAL MILITAR/DF,"2: TOMADA DE PREÇOS                                  ",00001/1998,06000102000011998,,Publicado,"Prestação de serviços de reserva, marcação e emissão de  passagens aéreas.",,,Nacional,1,RAUL LOPES BIANGOLINO,Diretor da DIPAT,20/01/1998 14:00,"SAS, Pça.Trib.Superiores/STM, 11º andar, sala 1102 - Asa Sul/DF",,04/02/1998 14:30,20/01/1998,/licitacoes/id/licitacao/06000102000011998/itens
110001: SECRETARIA DE ADMINISTRAÇÃO,"1: CONVITE                                           ",00001/1998,11000101000011998,,Divulgado,Aquisição de material de expediente.,,,Nacional,10,,,08/01/1998 08:00,"Palácio do Planalto, Anexo_II A Sala 149 - Praça dos Poderes/DF",16/01/1998 10:00,15/01/1998 08:00,,/licitacoes/id/licitacao/11000101000011998/itens
110001: SECRETARIA DE ADMINISTRAÇÃO,"2: TOMADA DE PREÇOS                                  ",00001/1998,11000102000011998,,Publicado,Contratação de empresa para prestação de serviços de manutenção e assistência técnica em elevadores da marca ATLAS.,,,Nacional,1,ANTONIO CARLOS NOVAES,Presidente da Comissão Permanente de Licitação,23/01/1998 09:00,Palácio do Planalto Anexo II-A Sala 149 - /DF,,09/02/1998 10:00,23/01/1998,/licitacoes/id/licitacao/11000102000011998/itens
110001: SECRETARIA DE ADMINISTRAÇÃO,"3: CONCORRÊNCIA                                      ",00001/1998,11000103000011998,,Publicado,"Contratação de empresa especializada em prestar serviços técnicos em instalações de pequeno porte, operação e manutenção preventiva e corretiva das instalações dos móveis e dos imóveis da Presidência da República.",,0200 002043 97,Nacional,1,MARÍLIA TRINDADE BARBOZA DA SILVA,Presidente da Comissão Especial de Licitação,30/03/1998 09:00,"Palácio do Planalto, Anexo II-A, Sala 149 - Praça dos Três Poderes/DF",,05/05/1998 10:00,30/03/1998,/licitacoes/id/licitacao/11000103000011998/itens
110052: RADIOBRAS - EMP.BRASILEIRA DE COMUNICACAO S/A,"3: CONCORRÊNCIA                                      ",00001/1998,11005203000011998,,Publicado,"Contratação de Empresa para prestação de serviço de Fornecimento de Passagens Áereas, Terrestres, Nacionais e Internacionais.",,.425/98,Nacional,1,LAURO DE OLIVEIRA CHAVES,Chefe do Departamento de Material e Serviço,20/04/1998 08:00,SCN Quadra 02 Bloco C - Asa Norte/DF,,26/05/1998 09:00,23/04/1998,/licitacoes/id/licitacao/11005203000011998/itens
110052: RADIOBRAS - EMP.BRASILEIRA DE COMUNICACAO S/A,"1: CONVITE                                           ",00001/1998,11005201000011998,,Publicado,"Contratação de firma especializada para fornecimento de água potável em carro-pipa com capacidade para 10000 litros, para uso no Parque dos Transmissores da Radiobrás em Itaóca, São Gonçalo/RJ.",,,Nacional,1,JOSÉ MARTINS LEITE CAVALCANTE,Chefe do Departamento de Administração,21/01/1998 08:00,SCN Qd. 02 Bloco C - Asa Norte/DF,,03/02/1998 10:00,21/01/1998,/licitacoes/id/licitacao/11005201000011998/itens
110052: RADIOBRAS - EMP.BRASILEIRA DE COMUNICACAO S/A,"2: TOMADA DE PREÇOS                                  ",00001/1998,11005202000011998,,Publicado,Aquisição de fitas Betacam.,,.390/98,Nacional,7,LAURO DE OLIVEIRA CHAVES,Chefe do Departamento de Administração,05/03/1998 08:00,SCN Quadra 2 Bloco C - Asa Norte/DF,,24/03/1998 09:00,09/03/1998,/licitacoes/id/licitacao/11005202000011998/itens
110052: RADIOBRAS - EMP.BRASILEIRA DE COMUNICACAO S/A,"4: CONCORRÊNCIA INTERNACIONAL                        ",00001/1998,11005204000011998,,Publicado,"Aquisição de equipamentos de estúdio, para utilização nas TV NACIO NAL CANAL 2 e NBR TV NACIONAL BRASIL, por importação direta.",,.825/98,Nacional,16,LAURO DE OLIVEIRA CHAVES,Chefe do Departamento de Material e Serviço,08/07/1998 08:00,SCN Qd. 02 - Bloco C - Asa Norte/DF,,10/08/1998 09:00,09/07/1998,/licitacoes/id/licitacao/11005204000011998/itens
110061: COORDENACAO-GERAL DE SERVICOS GERAIS,"1: CONVITE                                           ",00001/1998,11006101000011998,,Publicado,Aquisição de softwares.,,,Nacional,5,DAVID VECCHI ACHIAMÉ,Presidente da Comissão Especial de Licitação,02/02/1998 08:00,"SAS Quadra 04 Bloco N, 9º andar, sala 909 - Asa Sul/DF",,10/02/1998 09:30,29/01/1998,/licitacoes/id/licitacao/11006101000011998/itens
110061: COORDENACAO-GERAL DE SERVICOS GERAIS,"2: TOMADA DE PREÇOS                                  ",00001/1998,11006102000011998,,Publicado,"Aquisição de papel, na cor branca, com 75g/m2, formatos A-4, medindo 210x297mm, e Ofício II medindo 216x330mm, para uso em serviços gráficos, nos quantitativos e demais elementos definidos no Anexo I deste Edital.",,,Nacional,2,CONCEIÇÃO DE MARIA MENDES SOUZA,Presidente Suplente,19/01/1998 08:00,SAS quadra 04 bloco N sala 909 9º andar - Plano Piloto/DF,,05/02/1998 10:00,19/01/1998,/licitacoes/id/licitacao/11006102000011998/itens
110069: PR-AGU-PROCURAD.DA UNIAO DO DIST.FEDERAL/DF,"1: CONVITE                                           ",00001/1998,11006901000011998,,Publicado,"Aquisição de mobiliário em geral, composto de cadeiras giratórias, mesas com estrutura em madeira, estantes de madeira, arca baixa em madeira, mesa padrão para microcomputador, poltrona com espaldar alto e poltrona com espaldar médio.",,0445.002319/9864,Nacional,7,GILDA MARIA FREIRE GARCIA,Procuradora-Chefe da União/DF,11/08/1998 08:00,"SAS Quadra 02, Bloco E, Edifício PGU, 3 andar sala 320 - Asa Sul/DF",,25/08/1998 09:00,11/08/1998,/licitacoes/id/licitacao/11006901000011998/itens
110087: PROCUR.DA UNIAO NO EST. DO RIO G. DO SUL/AGU,"2: TOMADA DE PREÇOS                                  ",00001/1998,11008702000011998,,Publicado,Contratação de serviço de vigilância armada e desarmada para a Procuradoria da União no Estado do Rio Grande do Sul e suas Seccionais.,,0530004945/98-62,Nacional,1,BRENO LEMES MULLER,Presidente da Comissão Permanente de Licitação,16/11/1998 14:00,Travessa Acelino de Carvalho nº 21 - 12º andar - Centro/RS,,02/12/1998 14:00,16/11/1998,/licitacoes/id/licitacao/11008702000011998/itens
110120: DEPARTAMENTO DE ADMINISTRACAO DA ABIN/GSI/PR,"1: CONVITE                                           ",00001/1998,11012001000011998,,Divulgado,"Contratação de empresa especializada no fornecimento e instalação de CARPETE, PERSIANAS e PAPEL DE PAREDE.",,,Nacional,3,,,29/01/1998 08:30,Setor Policial Área 05 Quadra 01 Bl. ""P"" - Térreo - Asa Sul/DF,,05/02/1998 09:30,,/licitacoes/id/licitacao/11012001000011998/itens
110120: DEPARTAMENTO DE ADMINISTRACAO DA ABIN/GSI/PR,"2: TOMADA DE PREÇOS                                  ",00001/1998,11012002000011998,,Publicado,Aquisição de gás (GLP).,,,Nacional,3,GASPAR CARDOSO,Presidente da CPL/DAG/CMPR,05/01/1998 08:30,Setor Policial Área 05 Quadra 01 Bl. ""P""_- Térreo - Asa Sul/DF,21/01/1998 09:30,21/01/1998 09:30,05/01/1998,/licitacoes/id/licitacao/11012002000011998/itens
110120: DEPARTAMENTO DE ADMINISTRACAO DA ABIN/GSI/PR,"33: CONCORRÊNCIA POR TÉCNICA E PREÇO                  ",00001/1998,11012033000011998,,Publicado,Contratação de empresa especializada no fornecimento de Microcomputadores Pentium e Portáteis e de Servidor da arquivos. Com assistência técnica.,,1180001686/98,Nacional,3,GASPAR CARDOSO,Presidente da CPL/DAG/CMPR - substituto,05/06/1998 08:00,Setor Policial Área 05 Quadra 01 Bl. ""P"" - Térreo - Asa Sul/DF,,23/07/1998 09:00,05/06/1998,/licitacoes/id/licitacao/11012033000011998/itens
110401: MINISTERIO DA DEFESA - GAB. MINISTRO -DF,"2: TOMADA DE PREÇOS                                  ",00001/1998,11040102000011998,,Publicado,Fornecimento e instalação de Sistema de amplificadores de alta po tência de 50w com redundância 1+1.,,01/98,Nacional,1,EMERSON TARCÍSIO MEISTER,Presidente da Comissão Especial de Licitação,30/04/1998 09:00,"Esplanada dos Ministérios, Bloco ""Q"", sala 305. - Plano Piloto/DF",,18/05/1998 15:00,28/04/1998,/licitacoes/id/licitacao/11040102000011998/itens
110401: MINISTERIO DA DEFESA - GAB. MINISTRO -DF,"3: CONCORRÊNCIA                                      ",00001/1998,11040103000011998,,Publicado,"Prestacao de servicos de zeladoria, asseio, higienizacao, limpeza, conservacao e manutencao predial.",,001,Nacional,1,PAULO CESAR DE CASTILHO,Presidente da Comissao Especial de Licitacao,24/08/1998 09:30,"Esplanada dos Ministerios Bloco ""Q"", sala 926, 9º andar - Plano Piloto/DF",,28/09/1998 14:00,24/08/1998,/licitacoes/id/licitacao/11040103000011998/itens
113601: IPEA-INSTIT.DE PESQUISA ECONOMICA APLICADA/DF,"1: CONVITE                                           ",00001/1998,11360101000011998,,Publicado,"Aquição de papel para impressão à laser, formato A-4, bobina  para máquina de calcular e cartucho colorido para impressora HP.",,,Nacional,3,JOSÉ CARLOS TOFETI,Presidente da CPL,26/01/1998 08:00,Setor Bancário Sul - Ed do BNDES - 5º andar - sala 514 - Setor Bancário Sul/DF,,03/02/1998 10:00,26/01/1998,/licitacoes/id/licitacao/11360101000011998/itens
113601: IPEA-INSTIT.DE PESQUISA ECONOMICA APLICADA/DF,"2: TOMADA DE PREÇOS                                  ",00001/1998,11360102000011998,,Publicado,"Contratação de empresa especializada para o fornecimento de 2500 li tros de gasolina comum e 2500 litros de gasolina especial a ser entregue parceladamente, quando necessário, através de requisição.",,3010000021/98-36,Nacional,2,ADRILES MARQUES DA FONSECA,Presidente da CPL,19/02/1998 08:30,SBS - Ed. BNDES - 5º andar - Sala 514 - Setor Bancário Sul/DF,,16/03/1998 14:30,19/02/1998,/licitacoes/id/licitacao/11360102000011998/itens
113601: IPEA-INSTIT.DE PESQUISA ECONOMICA APLICADA/DF,"33: CONCORRÊNCIA POR TÉCNICA E PREÇO                  ",00001/1998,11360133000011998,,Publicado,"Aquisição de equipamentos, softwares e outros produtos para microinformática.",,3016.00015/98-92,Nacional,54,ADRILES MARQUES DA FONSECA,Presidente da CPL,23/06/1998 08:30,SBS - Ed. BNDES - 5º andar - Sala 514 - Setor Bancário Sul/DF,,07/08/1998 14:30,23/06/1998,/licitacoes/id/licitacao/11360133000011998/itens
114702: ENAP-ESCOLA NACIONAL DE ADM.PUBLICA/DF,"2: TOMADA DE PREÇOS                                  ",00001/1998,11470202000011998,,Publicado,Contratação de empresa especializada prestadora de serviços de Assi stência Médico-Hospitalar e Exames complementares.,,971998,Nacional,1,JOSÉ LUIZ MÉRA ASSUMPÇÃO FILHO,Gerente - GAC,09/07/1998 08:30,SAIS Área 2-A - Asa Sul/DF,,27/07/1998 09:00,09/07/1998,/licitacoes/id/licitacao/11470202000011998/itens
114702: ENAP-ESCOLA NACIONAL DE ADM.PUBLICA/DF,"3: CONCORRÊNCIA                                      ",00001/1998,11470203000011998,,Publicado,Concessão de uso comum das instalações do Restaurante e Lanchonete.,,,Nacional,1,ELMO LUCIO ALVES ROCHA,Presidente da Comissão Permanente de Licitação,12/01/1998 08:30,SAIS Área 2 Edif.Sede da ENAP-Sala 110 - Asa Sul/DF,,11/02/1998 09:00,12/01/1998,/licitacoes/id/licitacao/11470203000011998/itens
120005: MAER-PABR-PREFEITURA DE AERON.DE BRASILIA/DF,"2: TOMADA DE PREÇOS                                  ",00001/1998,12000502000011998,,Publicado,"Contratação de profissionais para serviços de manutenção, conservação e limpeza na sede da PABR e a manutenção e conservação nos PNR, pertencentes a este Ministério, administrados pela PABR na área do D.F..",,,Nacional,1,JORGE DE SOUSA PANTALEÃO - CEL QOINT,Prefeito da PABR,20/02/1998 13:30,"SHIS QI 03, Conjunto 01, Área Especial Militar - Lago Sul/DF",,12/03/1998 14:00,20/02/1998,/licitacoes/id/licitacao/12000502000011998/itens
125001: INFRAERO CENTRO CORPORATIVO/SEDE,"2: TOMADA DE PREÇOS                                  ",00001/1998,12500102000011998,,Publicado,"Contratação de instituição especializada para ministrar curso fecha do de ""Qualidade, para empregados da INFRAERO, visando a implantação/manu tenção do sistema da qualidade pela Norma ISO 9001 nos 07 (sete) Centros de Negócios Aeroportuários e nos Aeroportos de SBBH, SBCF, SBSP, SBUL, SBSL, SBCT, SBFL, SBFZ, SBSV e SBBV.",,01/DADL/SEDE/98,Nacional,1,ROBERTO VITÓRIA PINHEIRO,Chefe do Departamento de Licitações,25/03/1998 08:00,"SCS Q. 04, nº 58, Bloco ""A"", Ed. Infraero, 3º andar - Setor Comercial Sul/DF",,16/04/1998 10:00,25/03/1998,/licitacoes/id/licitacao/12500102000011998/itens
125001: INFRAERO CENTRO CORPORATIVO/SEDE,"3: CONCORRÊNCIA                                      ",00001/1998,12500103000011998,,Publicado,Contratação dos serviços de publicidade.,,01/DADL/SEDE/98,Nacional,1,ROBERTO VITÓRIA PINHEIRO,Chefe do Departamento de Licitações,05/03/1998 08:00,"SCS Q. 04, nº 58, Bloco ""A"", Ed. Infraero, 3º andar - Setor Comercial Sul/DF",,23/04/1998 10:00,05/03/1998,/licitacoes/id/licitacao/12500103000011998/itens
130075: DISTRITO DE METEOROLOGIA/RS,"1: CONVITE                                           ",00001/1998,13007501000011998,,Divulgado,Compra de servicos com manutencao e conservacao de bens imoveis para a sede do 8 DISME.,,1176.00137/98-46,Nacional,2,,,11/12/1998 08:30,"Rua Professor Cristiano Fischer, 1297. - Jardim Botanico/RS",,18/12/1998 10:00,,/licitacoes/id/licitacao/13007501000011998/itens
130005: COORD.-GERAL DE EXECUCAO ORç.E FIN./DA/MAPA,"1: CONVITE                                           ",00001/1998,13000501000011998,,Publicado,"Contratação de firma especializada, para prestação de serviços grá ficos em formulário contínuo de 80 colunas, impressão em ""off-set"" e impres são do Boletim de Defesa Sanitária Animal.",,1000007291/97-61,Nacional,2,JORGE ROXO RAMOS,Presidente da Comissão Permanente de Licitação,27/02/1998 09:00,"Esplanada dos Ministérios Bloco ""D"" sobreloja, sala 134 - Asa Sul/DF",,06/03/1998 10:00,27/02/1998,/licitacoes/id/licitacao/13000501000011998/itens
130005: COORD.-GERAL DE EXECUCAO ORç.E FIN./DA/MAPA,"2: TOMADA DE PREÇOS                                  ",00001/1998,13000502000011998,,Publicado,"Contratação de firma especializada para prestação de serviços  de manutenção, fornecimento, instalação e recuperação de divisórias, armários e balcões.",,1000.000278/9825,Nacional,1,JORGE ROXO RAMOS,Presidente da Comissão Permanente de Licitação,25/03/1998 08:30,Esplanada dos Ministérios Bl ""D"" sobreloja sala 134 - Asa Sul/DF,,13/04/1998 10:00,25/03/1998,/licitacoes/id/licitacao/13000502000011998/itens
130005: COORD.-GERAL DE EXECUCAO ORç.E FIN./DA/MAPA,"3: CONCORRÊNCIA                                      ",00001/1998,13000503000011998,,Publicado,"Contratação de serviços técnicos especializados relacionados   às áreas de modernização administrativa, desenvolvimento, programação e opera ção de sistemas informatizados (terceirização).",,1000002318/98-19,Nacional,1,FABRÍCIO PEREIRA GARCIA,Presidente da Comissão Especial de Licitação,21/08/1998 09:00,Minist. da Agricultura 2º Andar Sala 205 do Ed. Sede - Asa  Sul/DF,,14/10/1998 10:00,21/08/1998,/licitacoes/id/licitacao/13000503000011998/itens
130010: COMISSAO EXEC.DA LAVOURA CACAUEIRA,"1: CONVITE                                           ",00001/1998,13001001000011998,,Publicado,"Contrataçao de prestaçao de serviços para ampliaçao física da rede de computadores da Diret/Ceplac, em Brasília-DF.",,10700002489856,Nacional,1,REINALDO DOS SANTOS MELLO,Ordenador de Despesas por Delegaçao,01/04/1998 08:00,Eixo Monumental Via S1 Bloco B - Cruzeiro/DF,,08/04/1998 10:00,01/04/1998,/licitacoes/id/licitacao/13001001000011998/itens
130011: INSTITUTO NAC. DE METEOROLOGIA,"2: TOMADA DE PREÇOS                                  ",00001/1998,13001102000011998,,Publicado,"Contratação sobe regime de empreitada integral por ítem de empresad do ramo para a execução de obras/serviços de instalação elétrica do CPD/CSC ee OMBRA e Reforma do galpão deposito, cantina e posto de lavagem e central dde ar condicionado com fornecimento de material e mao de obra, conforme es pecificação e projeto contidos nos anexos do edital.",,2116000005498-62,Nacional,2,VALDECI CARVALHO MORAES,Chefe do Setor de Controle Operacional - SECOP,13/08/1998 08:30,Instituto Nacional de Meteorologia - Eixo Monumental Via S-1  - Cruzeiro/DF,,28/08/1998 10:00,12/08/1998,/licitacoes/id/licitacao/13001102000011998/itens
130058: LABORATÓRIO NACIONAL AGROPECUÁRRIO/MG,"1: CONVITE                                           ",00001/1998,13005801000011998,,Divulgado,Aquisição de material permanente (uma centrífuga e uma estufa).,,A-21181000054/98,Nacional,2,,,22/12/1998 08:30,"Av. Rômulo Joviano, s/n° - Caixas Postais 35 e 50 - Fazenda Modelo/MG",,29/12/1998 14:30,,/licitacoes/id/licitacao/13005801000011998/itens
135182: COMPANHIA NACIONAL DE ABASTECIMENTO - CONAB,"2: TOMADA DE PREÇOS                                  ",00001/1998,13518202000011998,,Publicado,Contratação de serviços de hospedagem individual em hotéis localiza dos em Belo Horizonte/MG.,,8.209/98,Nacional,1,FERNANDO DE CASTRO SANTOS,Presidente da Comissão Permanente de Licitação SUREG/MG,20/10/1998 08:00,"Rua Professor Antônio Aleixo 756, 2º andar, sala da CPL - Lourdes/MG",,04/11/1998 10:00,20/10/1998,/licitacoes/id/licitacao/13518202000011998/itens
135182: COMPANHIA NACIONAL DE ABASTECIMENTO - CONAB,"3: CONCORRÊNCIA                                      ",00001/1998,13518203000011998,,Publicado,Contratação de serviços de vigilância armada e segurança física para as Unidades da CONAB localizadas no Estado de Minas Gerais.,,8.202/98,Nacional,6,FERNANDO DE CASTRO SANTOS,Presidente da Comissão Permanente de Licitação SUREG/MG,25/09/1998 08:00,"Rua Professor Antônio Aleixo n. 756, 2º andar, sala da CPL - Lourdes/MG",,30/10/1998 10:00,25/09/1998,/licitacoes/id/licitacao/13518203000011998/itens
150004: MEC-COORDENACAO GERAL DE INFORMATICA - DF,"1: CONVITE                                           ",00001/1998,15000401000011998,,Publicado,"Aquisição de 18 (dezoito) impressoras matriciais, conforme especifi cações técnicas constantes do Anexo I, parte integrante do Edital.",,3000001879/98-62,Nacional,1,PEDRO AMÉRICO FIGUEIREDO HOLANDA,Presidente da CPL/CEINF/MEC,07/04/1998 09:00,"EMI Bloco ""L"" Anexo II Térreo, Sala 09 - Plano Piloto/DF",,16/04/1998 14:30,07/04/1998,/licitacoes/id/licitacao/15000401000011998/itens
150004: MEC-COORDENACAO GERAL DE INFORMATICA - DF,"22: TOMADA DE PREÇOS POR TÉCNICA E PREÇO              ",00001/1998,15000422000011998,,Publicado,"Contratação de empersa especializada para a prestação de  serviços e manutenção preventiva e corretiva em equipamentos de informática, com for necimento integral de peças e componentes, para atender às   necessidades dos òrgãos e entidades do Ministério da Educação e do Desporto, em Brasília Distrito Federal, compreendendo os serviços descritos conforme Projeto Bási co Anexo I,especificações e localidades constantes do Anexo III,  partes integrantes do Edital.",,,Nacional,4,PEDRO AMERICO FIGUEIREDO HOLANDA,Presidente da CPL/CEINF/MEC,03/02/1998 09:00,"EMI Bloco L Anexo II, Térreo, Sala 09 - Plano Piloto/DF",,05/03/1998 14:30,30/01/1998,/licitacoes/id/licitacao/15000422000011998/itens
150005: MEC-CSG-COORDENACAO DE SERVICOS GERAIS/DF,"1: CONVITE                                           ",00001/1998,15000501000011998,,Divulgado,"Contratação de empresa para aquisição de 11.880 litros de leite tipo ""C"" para distribuição a diversos órgãos deste Ministério, durante o exercício de 1998.",,,Nacional,1,,,20/01/1998 09:00,EMI Bl. L Anexo II sala 302 - Brasilia/DF,,27/01/1998 09:30,,/licitacoes/id/licitacao/15000501000011998/itens
150005: MEC-CSG-COORDENACAO DE SERVICOS GERAIS/DF,"2: TOMADA DE PREÇOS                                  ",00001/1998,15000502000011998,,Publicado,Contratação de empresa para o fornecimento de 11.761 (onze mil  e setecentos e sessenta e um) garrafões de 20 (vinte) litros de água mineral para distribuição aos diversos órgãos deste Ministério.,,,Nacional,1,MARIA DE JESUS TAVARES VALADARES BRAGA,Presidente Substituta da CPL,06/01/1998 09:30,"Espl. dos Ministérios, bloco L, anexo II, 3º and., sl. 302 - Brasília/DF",21/01/1998 09:30,21/01/1998 09:30,06/01/1998,/licitacoes/id/licitacao/15000502000011998/itens
