no_cidade,nome_da_nidade,gid,valor,taxa
"Pains","<i>Pains</i>","10755","<b>0</b>","0"
"Murutinga do Sul","<i>Murutinga do Sul</i>","8630","<b>0</b>","0"
"Nipoã","<i>Nipoã</i>","8637","<b>0</b>","0"
"Otacílio Costa","<i>Otacílio Costa</i>","6308","<b>2</b>","2"
"Santa Rita de Ibitipoca","<i>Santa Rita de Ibitipoca</i>","10904","<b>0</b>","0"
"Caiçara","<i>Caiçara</i>","6641","<b>1</b>","1"
"Governador Eugênio Barros","<i>Governador Eugênio Barros</i>","9133","<b>2</b>","2"
"Cacimbinhas","<i>Cacimbinhas</i>","10044","<b>2</b>","2"
"Orizânia","<i>Orizânia</i>","10747","<b>3</b>","3"
"Nova Canaã Paulista","<i>Nova Canaã Paulista</i>","8640","<b>0</b>","0"
"Santarém","<i>Santarém</i>","5687","<b>14</b>","14"
"Faxinal dos Guedes","<i>Faxinal dos Guedes</i>","6218","<b>3</b>","3"
"Andradina","<i>Andradina</i>","8294","<b>3</b>","3"
"Embaúba","<i>Embaúba</i>","8437","<b>0</b>","0"
"Peritoró","<i>Peritoró</i>","9196","<b>1</b>","1"
"Joaquim Felício","<i>Joaquim Felício</i>","10624","<b>2</b>","2"
"Espírito Santo do Turvo","<i>Espírito Santo do Turvo</i>","8443","<b>0</b>","0"
"Dianópolis","<i>Dianópolis</i>","8960","<b>1</b>","1"
"Caldazinha","<i>Caldazinha</i>","7489","<b>0</b>","0"
"Francisco Macedo","<i>Francisco Macedo</i>","6977","<b>2</b>","2"
"Ouro Branco","<i>Ouro Branco</i>","6520","<b>2</b>","2"
"João Câmara","<i>João Câmara</i>","6491","<b>3</b>","3"
"Riacho dos Machados","<i>Riacho dos Machados</i>","10847","<b>0</b>","0"
"Senador Guiomard","<i>Senador Guiomard</i>","6887","<b>5</b>","5"
"Tururu","<i>Tururu</i>","7291","<b>2</b>","2"
"Tupaciguara","<i>Tupaciguara</i>","11028","<b>0</b>","0"
"Itanhandu","<i>Itanhandu</i>","10586","<b>2</b>","2"
"Rio Quente","<i>Rio Quente</i>","7637","<b>1</b>","1"
"São João do Itaperiú","<i>São João do Itaperiú</i>","6378","<b>1</b>","1"
"Codó","<i>Codó</i>","9113","<b>10</b>","10"
"Pinhal da Serra","<i>Pinhal da Serra</i>","9585","<b>1</b>","1"
"Limoeiro do Ajuru","<i>Limoeiro do Ajuru</i>","5636","<b>6</b>","6"
"Pescador","<i>Pescador</i>","10795","<b>1</b>","1"
"Nova Timboteua","<i>Nova Timboteua</i>","5652","<b>2</b>","2"
"Dom Pedro","<i>Dom Pedro</i>","9120","<b>3</b>","3"
"São Bento do Una","<i>São Bento do Una</i>","9996","<b>4</b>","4"
"São José do Ouro","<i>São José do Ouro</i>","9667","<b>0</b>","0"
"Itapiratins","<i>Itapiratins</i>","8977","<b>0</b>","0"
"Juru","<i>Juru</i>","6695","<b>1</b>","1"
"Ichu","<i>Ichu</i>","7921","<b>1</b>","1"
"Balneário Barra do Sul","<i>Balneário Barra do Sul</i>","6160","<b>1</b>","1"
"Luiziânia","<i>Luiziânia</i>","8583","<b>0</b>","0"
"Mongaguá","<i>Mongaguá</i>","8619","<b>3</b>","3"
"Pato Bragado","<i>Pato Bragado</i>","5989","<b>1</b>","1"
"Brusque","<i>Brusque</i>","6180","<b>10</b>","10"
"Porto Rico","<i>Porto Rico</i>","6013","<b>0</b>","0"
"Nova Bréscia","<i>Nova Bréscia</i>","9546","<b>0</b>","0"
"Santo Expedito do Sul","<i>Santo Expedito do Sul</i>","9652","<b>1</b>","1"
"Soledade","<i>Soledade</i>","9708","<b>1</b>","1"
"Selvíria","<i>Selvíria</i>","9840","<b>1</b>","1"
"Sebastianópolis do Sul","<i>Sebastianópolis do Sul</i>","8843","<b>0</b>","0"
"Assunção","<i>Assunção</i>","6613","<b>2</b>","2"
"Serra Nova Dourada","<i>Serra Nova Dourada</i>","7423","<b>1</b>","1"
"Campinorte","<i>Campinorte</i>","7492","<b>1</b>","1"
"Tupandi","<i>Tupandi</i>","9739","<b>0</b>","0"
"Tupanci do Sul","<i>Tupanci do Sul</i>","9737","<b>0</b>","0"
"Chorozinho","<i>Chorozinho</i>","7163","<b>5</b>","5"
"Riachão do Bacamarte","<i>Riachão do Bacamarte</i>","6754","<b>2</b>","2"
"Piraúba","<i>Piraúba</i>","10811","<b>0</b>","0"
"Guarulhos","<i>Guarulhos</i>","8483","<b>17</b>","17"
"Granito","<i>Granito</i>","9917","<b>1</b>","1"
"Periquito","<i>Periquito</i>","10794","<b>2</b>","2"
"Salto de Pirapora","<i>Salto de Pirapora</i>","8779","<b>0</b>","0"
"Machadinho D'Oeste","<i>Machadinho D'Oeste</i>","6830","<b>5</b>","5"
"São João do Tigre","<i>São João do Tigre</i>","6778","<b>0</b>","0"
"Campo Belo","<i>Campo Belo</i>","10333","<b>8</b>","8"
"São Pedro do Iguaçu","<i>São Pedro do Iguaçu</i>","6087","<b>1</b>","1"
"Pontal do Araguaia","<i>Pontal do Araguaia</i>","7391","<b>1</b>","1"
"Pau D'Arco","<i>Pau D'Arco</i>","9008","<b>0</b>","0"
"Bebedouro","<i>Bebedouro</i>","8339","<b>7</b>","7"
"Maracaí","<i>Maracaí</i>","8594","<b>2</b>","2"
"Bagre","<i>Bagre</i>","5588","<b>0</b>","0"
"Pilões","<i>Pilões</i>","6536","<b>1</b>","1"
"Blumenau","<i>Blumenau</i>","6169","<b>8</b>","8"
"Bady Bassitt","<i>Bady Bassitt</i>","8323","<b>1</b>","1"
"Santo Antônio do Sudoeste","<i>Santo Antônio do Sudoeste</i>","6070","<b>3</b>","3"
"Abadia de Goiás","<i>Abadia de Goiás</i>","7441","<b>1</b>","1"
"General Sampaio","<i>General Sampaio</i>","7177","<b>2</b>","2"
"São José das Missões","<i>São José das Missões</i>","9662","<b>1</b>","1"
"Barro Preto","<i>Barro Preto</i>","7803","<b>2</b>","2"
"Capela do Alto Alegre","<i>Capela do Alto Alegre</i>","7845","<b>2</b>","2"
"Felipe Guerra","<i>Felipe Guerra</i>","6468","<b>2</b>","2"
"Jutaí","<i>Jutaí</i>","10168","<b>1</b>","1"
"Arara","<i>Arara</i>","6607","<b>2</b>","2"
"Ponta de Pedras","<i>Ponta de Pedras</i>","5668","<b>6</b>","6"
"Flores do Piauí","<i>Flores do Piauí</i>","6972","<b>0</b>","0"
"Monte Santo do Tocantins","<i>Monte Santo do Tocantins</i>","8993","<b>0</b>","0"
"Buritis","<i>Buritis</i>","10312","<b>2</b>","2"
"Toledo","<i>Toledo</i>","11022","<b>0</b>","0"
"Ourizona","<i>Ourizona</i>","5977","<b>1</b>","1"
"Batayporã","<i>Batayporã</i>","9781","<b>0</b>","0"
"Itaiçaba","<i>Itaiçaba</i>","7200","<b>1</b>","1"
"Mombuca","<i>Mombuca</i>","8617","<b>0</b>","0"
"Juscimeira","<i>Juscimeira</i>","7360","<b>0</b>","0"
"União do Sul","<i>União do Sul</i>","7432","<b>0</b>","0"
"Angico","<i>Angico</i>","8922","<b>0</b>","0"
"Lindoeste","<i>Lindoeste</i>","5921","<b>1</b>","1"
"Nova Iguaçu de Goiás","<i>Nova Iguaçu de Goiás</i>","7603","<b>0</b>","0"
"Prainha","<i>Prainha</i>","5671","<b>7</b>","7"
"Imbé de Minas","<i>Imbé de Minas</i>","10558","<b>0</b>","0"
"São José do Hortêncio","<i>São José do Hortêncio</i>","9664","<b>2</b>","2"
"Matozinhos","<i>Matozinhos</i>","10687","<b>0</b>","0"
"Inimutaba","<i>Inimutaba</i>","10565","<b>0</b>","0"
"Maracajá","<i>Maracajá</i>","6288","<b>0</b>","0"
"Santo Antônio dos Milagres","<i>Santo Antônio dos Milagres</i>","7073","<b>0</b>","0"
"Meridiano","<i>Meridiano</i>","8603","<b>0</b>","0"
"Ouroeste","<i>Ouroeste</i>","8662","<b>2</b>","2"
"São Nicolau","<i>São Nicolau</i>","9677","<b>0</b>","0"
"Jardinópolis","<i>Jardinópolis</i>","6267","<b>0</b>","0"
"Cujubim","<i>Cujubim</i>","6852","<b>1</b>","1"
"Nova Lima","<i>Nova Lima</i>","10731","<b>3</b>","3"
"Carapicuíba","<i>Carapicuíba</i>","8392","<b>4</b>","4"
"Nova Glória","<i>Nova Glória</i>","7602","<b>1</b>","1"
"Macaparana","<i>Macaparana</i>","9951","<b>0</b>","0"
"Itirapina","<i>Itirapina</i>","8540","<b>2</b>","2"
"Senador Rui Palmeira","<i>Senador Rui Palmeira</i>","10128","<b>1</b>","1"
"São Geraldo","<i>São Geraldo</i>","10928","<b>0</b>","0"
"Santa Amélia","<i>Santa Amélia</i>","6052","<b>0</b>","0"
"Barão de Cotegipe","<i>Barão de Cotegipe</i>","9304","<b>0</b>","0"
"São Brás do Suaçuí","<i>São Brás do Suaçuí</i>","10920","<b>0</b>","0"
"Morro Cabeça no Tempo","<i>Morro Cabeça no Tempo</i>","7024","<b>1</b>","1"
"Bananeiras","<i>Bananeiras</i>","6615","<b>1</b>","1"
"Pontalina","<i>Pontalina</i>","7628","<b>1</b>","1"
"Santa Helena de Goiás","<i>Santa Helena de Goiás</i>","7644","<b>0</b>","0"
"Cocal de Telha","<i>Cocal de Telha</i>","6949","<b>1</b>","1"
"Avanhandava","<i>Avanhandava</i>","8321","<b>0</b>","0"
"Três Passos","<i>Três Passos</i>","9732","<b>2</b>","2"
"Presidente Médici","<i>Presidente Médici</i>","6835","<b>7</b>","7"
"Fernando de Noronha","<i>Fernando de Noronha</i>","9908","<b>0</b>","0"
"Cambuci","<i>Cambuci</i>","8192","<b>5</b>","5"
"Brás Pires","<i>Brás Pires</i>","10305","<b>1</b>","1"
"Erebango","<i>Erebango</i>","9418","<b>0</b>","0"
"Sapé","<i>Sapé</i>","6793","<b>7</b>","7"
"Santana de Pirapama","<i>Santana de Pirapama</i>","10893","<b>1</b>","1"
"Floraí","<i>Floraí</i>","5846","<b>0</b>","0"
"Santa Tereza","<i>Santa Tereza</i>","9642","<b>0</b>","0"
"Teodoro Sampaio","<i>Teodoro Sampaio</i>","8150","<b>0</b>","0"
"Tanhaçu","<i>Tanhaçu</i>","8144","<b>0</b>","0"
"São Sebastião da Amoreira","<i>São Sebastião da Amoreira</i>","6090","<b>1</b>","1"
"Pelotas","<i>Pelotas</i>","9582","<b>8</b>","8"
"Campo Azul","<i>Campo Azul</i>","10332","<b>0</b>","0"
"Santa Fé de Minas","<i>Santa Fé de Minas</i>","10883","<b>0</b>","0"
"Campos Verdes","<i>Campos Verdes</i>","7496","<b>2</b>","2"
"Riacho de Santana","<i>Riacho de Santana</i>","8086","<b>4</b>","4"
"Lauro Muller","<i>Lauro Muller</i>","6277","<b>1</b>","1"
"Mamonas","<i>Mamonas</i>","10664","<b>1</b>","1"
"Junco do Seridó","<i>Junco do Seridó</i>","6693","<b>0</b>","0"
"Serrano do Maranhão","<i>Serrano do Maranhão</i>","9252","<b>2</b>","2"
"Santo Antônio do Itambé","<i>Santo Antônio do Itambé</i>","10912","<b>1</b>","1"
"Presidente Tancredo Neves","<i>Presidente Tancredo Neves</i>","8077","<b>2</b>","2"
"São José do Belmonte","<i>São José do Belmonte</i>","10001","<b>2</b>","2"
"Macaé","<i>Macaé</i>","8215","<b>14</b>","14"
"Passa-Vinte","<i>Passa-Vinte</i>","10769","<b>0</b>","0"
"Estrela d'Oeste","<i>Estrela d'Oeste</i>","8444","<b>1</b>","1"
"Altinópolis","<i>Altinópolis</i>","8282","<b>2</b>","2"
"Barracão","<i>Barracão</i>","5764","<b>2</b>","2"
"Eusébio","<i>Eusébio</i>","7171","<b>3</b>","3"
"Francisco Dumont","<i>Francisco Dumont</i>","10507","<b>1</b>","1"
"Teresópolis","<i>Teresópolis</i>","8264","<b>5</b>","5"
"São José da Varginha","<i>São José da Varginha</i>","10953","<b>0</b>","0"
"João Dias","<i>João Dias</i>","6492","<b>1</b>","1"
"Sebastião Laranjeiras","<i>Sebastião Laranjeiras</i>","8130","<b>3</b>","3"
"Muitos Capões","<i>Muitos Capões</i>","9537","<b>0</b>","0"
"Vitória Brasil","<i>Vitória Brasil</i>","8910","<b>1</b>","1"
"Caetés","<i>Caetés</i>","9881","<b>3</b>","3"
"Presidente Kubitschek","<i>Presidente Kubitschek</i>","10833","<b>0</b>","0"
"Palmeirópolis","<i>Palmeirópolis</i>","9005","<b>2</b>","2"
"Guaraci","<i>Guaraci</i>","8474","<b>1</b>","1"
"Vale do Anari","<i>Vale do Anari</i>","6868","<b>1</b>","1"
"Itaocara","<i>Itaocara</i>","8210","<b>3</b>","3"
"Cidelândia","<i>Cidelândia</i>","9112","<b>4</b>","4"
"São Pedro do Turvo","<i>São Pedro do Turvo</i>","8835","<b>0</b>","0"
"Teixeira","<i>Teixeira</i>","6810","<b>2</b>","2"
"Aracaju","<i>Aracaju</i>","7689","<b>14</b>","14"
"Olímpia","<i>Olímpia</i>","8653","<b>1</b>","1"
"São Raimundo Nonato","<i>São Raimundo Nonato</i>","7097","<b>7</b>","7"
"Major Sales","<i>Major Sales</i>","6507","<b>3</b>","3"
"Lajedinho","<i>Lajedinho</i>","7988","<b>0</b>","0"
"Bragança Paulista","<i>Bragança Paulista</i>","8357","<b>3</b>","3"
"Pedra Branca","<i>Pedra Branca</i>","7252","<b>4</b>","4"
"Cabaceiras","<i>Cabaceiras</i>","6635","<b>2</b>","2"
"Areal","<i>Areal</i>","8182","<b>1</b>","1"
"Jaquirana","<i>Jaquirana</i>","9495","<b>1</b>","1"
"Santa Luzia","<i>Santa Luzia</i>","8104","<b>2</b>","2"
"Salvaterra","<i>Salvaterra</i>","5679","<b>2</b>","2"
"Coronel João Pessoa","<i>Coronel João Pessoa</i>","6459","<b>0</b>","0"
"Brejinho","<i>Brejinho</i>","9874","<b>2</b>","2"
"Peri Mirim","<i>Peri Mirim</i>","9195","<b>5</b>","5"
"São José do Divino","<i>São José do Divino</i>","7087","<b>1</b>","1"
"Tracuateua","<i>Tracuateua</i>","5708","<b>9</b>","9"
"Sobral","<i>Sobral</i>","7282","<b>15</b>","15"
"Monte Horebe","<i>Monte Horebe</i>","6717","<b>0</b>","0"
"Santa Tereza do Tocantins","<i>Santa Tereza do Tocantins</i>","9034","<b>1</b>","1"
"Ouricuri","<i>Ouricuri</i>","9961","<b>3</b>","3"
"Boa Vista do Incra","<i>Boa Vista do Incra</i>","9318","<b>0</b>","0"
"Gurupi","<i>Gurupi</i>","8973","<b>7</b>","7"
"Joaquim Távora","<i>Joaquim Távora</i>","5911","<b>0</b>","0"
"Caratinga","<i>Caratinga</i>","10357","<b>1</b>","1"
"Sertãozinho","<i>Sertãozinho</i>","8847","<b>5</b>","5"
"Cezarina","<i>Cezarina</i>","7503","<b>1</b>","1"
"Jaú","<i>Jaú</i>","8557","<b>7</b>","7"
"Acari","<i>Acari</i>","6428","<b>1</b>","1"
"Dias d'Ávila","<i>Dias d'Ávila</i>","7881","<b>7</b>","7"
"Taquarivaí","<i>Taquarivaí</i>","8871","<b>0</b>","0"
"Candeal","<i>Candeal</i>","7839","<b>1</b>","1"
"Itambaracá","<i>Itambaracá</i>","5890","<b>0</b>","0"
"Dores do Rio Preto","<i>Dores do Rio Preto</i>","11088","<b>0</b>","0"
"Planalto","<i>Planalto</i>","8713","<b>2</b>","2"
"Canindé","<i>Canindé</i>","7149","<b>11</b>","11"
"Águas Belas","<i>Águas Belas</i>","9853","<b>2</b>","2"
"Recreio","<i>Recreio</i>","10841","<b>1</b>","1"
"Mariópolis","<i>Mariópolis</i>","5943","<b>0</b>","0"
"Aparecida de Goiânia","<i>Aparecida de Goiânia</i>","7459","<b>30</b>","30"
"Itapiúna","<i>Itapiúna</i>","7204","<b>1</b>","1"
"Santa Luzia","<i>Santa Luzia</i>","6765","<b>1</b>","1"
"Prata do Piauí","<i>Prata do Piauí</i>","7058","<b>0</b>","0"
"Nova Ibiá","<i>Nova Ibiá</i>","8038","<b>1</b>","1"
"Tomazina","<i>Tomazina</i>","6113","<b>1</b>","1"
"Conceição das Alagoas","<i>Conceição das Alagoas</i>","10401","<b>6</b>","6"
"Pontes e Lacerda","<i>Pontes e Lacerda</i>","7393","<b>2</b>","2"
"Alto Garças","<i>Alto Garças</i>","7305","<b>1</b>","1"
"Assaré","<i>Assaré</i>","7134","<b>6</b>","6"
"Arataca","<i>Arataca</i>","7789","<b>1</b>","1"
"Oriente","<i>Oriente</i>","8655","<b>1</b>","1"
"Arroio do Meio","<i>Arroio do Meio</i>","9292","<b>2</b>","2"
"Massaranduba","<i>Massaranduba</i>","6710","<b>0</b>","0"
"São Bento","<i>São Bento</i>","6772","<b>1</b>","1"
"Glória do Goitá","<i>Glória do Goitá</i>","9915","<b>4</b>","4"
"Emilianópolis","<i>Emilianópolis</i>","8440","<b>0</b>","0"
"Rosário Oeste","<i>Rosário Oeste</i>","7414","<b>1</b>","1"
"Osvaldo Cruz","<i>Osvaldo Cruz</i>","8660","<b>2</b>","2"
"Mulungu","<i>Mulungu</i>","7236","<b>1</b>","1"
"Viçosa","<i>Viçosa</i>","11055","<b>1</b>","1"
"Atalaia do Norte","<i>Atalaia do Norte</i>","10140","<b>6</b>","6"
"Goianápolis","<i>Goianápolis</i>","7532","<b>2</b>","2"
"Gouveia","<i>Gouveia</i>","10525","<b>2</b>","2"
"Ourinhos","<i>Ourinhos</i>","8661","<b>6</b>","6"
"Hulha Negra","<i>Hulha Negra</i>","9465","<b>3</b>","3"
"Ipiranga do Sul","<i>Ipiranga do Sul</i>","9480","<b>1</b>","1"
"Jaboticaba","<i>Jaboticaba</i>","9490","<b>2</b>","2"
"Mocajuba","<i>Mocajuba</i>","5645","<b>2</b>","2"
"Miravânia","<i>Miravânia</i>","10699","<b>2</b>","2"
"Mogi das Cruzes","<i>Mogi das Cruzes</i>","8614","<b>7</b>","7"
"Coimbra","<i>Coimbra</i>","10395","<b>0</b>","0"
"Paula Freitas","<i>Paula Freitas</i>","5991","<b>0</b>","0"
"Cristal do Sul","<i>Cristal do Sul</i>","9395","<b>1</b>","1"
"Jaborandi","<i>Jaborandi</i>","7967","<b>0</b>","0"
"Santa Rosa da Serra","<i>Santa Rosa da Serra</i>","10907","<b>0</b>","0"
"Nova Aurora","<i>Nova Aurora</i>","5963","<b>0</b>","0"
"Barros Cassal","<i>Barros Cassal</i>","9312","<b>0</b>","0"
"Afuá","<i>Afuá</i>","5577","<b>1</b>","1"
"Fernandes Pinheiro","<i>Fernandes Pinheiro</i>","5844","<b>0</b>","0"
"Gentil","<i>Gentil</i>","9450","<b>0</b>","0"
"Mandaguaçu","<i>Mandaguaçu</i>","5930","<b>1</b>","1"
"Independência","<i>Independência</i>","9477","<b>1</b>","1"
"Vicentinópolis","<i>Vicentinópolis</i>","7684","<b>1</b>","1"
"Presidente Epitácio","<i>Presidente Epitácio</i>","8734","<b>0</b>","0"
"Craíbas","<i>Craíbas</i>","10057","<b>2</b>","2"
"Turvolândia","<i>Turvolândia</i>","11030","<b>1</b>","1"
"Serra do Mel","<i>Serra do Mel</i>","6573","<b>1</b>","1"
"Felixlândia","<i>Felixlândia</i>","10497","<b>1</b>","1"
"Jundiaí","<i>Jundiaí</i>","8564","<b>7</b>","7"
"Colorado","<i>Colorado</i>","5813","<b>1</b>","1"
"Inhuma","<i>Inhuma</i>","6986","<b>2</b>","2"
"Poços de Caldas","<i>Poços de Caldas</i>","10816","<b>6</b>","6"
"Belford Roxo","<i>Belford Roxo</i>","8187","<b>12</b>","12"
"Pauini","<i>Pauini</i>","10181","<b>2</b>","2"
"Abreulândia","<i>Abreulândia</i>","8916","<b>0</b>","0"
"Toritama","<i>Toritama</i>","10020","<b>5</b>","5"
"Jaborandi","<i>Jaborandi</i>","8546","<b>1</b>","1"
"Sertaneja","<i>Sertaneja</i>","6097","<b>0</b>","0"
"Pau Brasil","<i>Pau Brasil</i>","8054","<b>1</b>","1"
"Palmácia","<i>Palmácia</i>","7247","<b>0</b>","0"
"Sem-Peixe","<i>Sem-Peixe</i>","10982","<b>0</b>","0"
"Tangará","<i>Tangará</i>","6398","<b>1</b>","1"
"São Miguel do Araguaia","<i>São Miguel do Araguaia</i>","7660","<b>2</b>","2"
"Curuçá","<i>Curuçá</i>","5618","<b>6</b>","6"
"Itacarambi","<i>Itacarambi</i>","10576","<b>2</b>","2"
"Marumbi","<i>Marumbi</i>","5947","<b>0</b>","0"
"São Gonçalo do Amarante","<i>São Gonçalo do Amarante</i>","7277","<b>6</b>","6"
"Pingo-d'Água","<i>Pingo-d'Água</i>","10802","<b>0</b>","0"
"Cacimba de Dentro","<i>Cacimba de Dentro</i>","6639","<b>4</b>","4"
"Pedro Régis","<i>Pedro Régis</i>","6752","<b>2</b>","2"
"Almeirim","<i>Almeirim</i>","5580","<b>2</b>","2"
"Serrinha","<i>Serrinha</i>","8136","<b>5</b>","5"
"Caiçara","<i>Caiçara</i>","9336","<b>1</b>","1"
"Rio Bonito do Iguaçu","<i>Rio Bonito do Iguaçu</i>","6040","<b>1</b>","1"
"Aparecida","<i>Aparecida</i>","6605","<b>0</b>","0"
"Monte Santo","<i>Monte Santo</i>","8021","<b>3</b>","3"
"Governador Nunes Freire","<i>Governador Nunes Freire</i>","9136","<b>8</b>","8"
"Bandeira do Sul","<i>Bandeira do Sul</i>","10269","<b>0</b>","0"
"Salinas da Margarida","<i>Salinas da Margarida</i>","8096","<b>2</b>","2"
"Rialma","<i>Rialma</i>","7635","<b>1</b>","1"
"Restinga","<i>Restinga</i>","8749","<b>1</b>","1"
"Inácio Martins","<i>Inácio Martins</i>","5880","<b>0</b>","0"
"Lajes Pintadas","<i>Lajes Pintadas</i>","6502","<b>3</b>","3"
"Serra Azul de Minas","<i>Serra Azul de Minas</i>","10993","<b>0</b>","0"
"Senhora dos Remédios","<i>Senhora dos Remédios</i>","10990","<b>0</b>","0"
"Capão Alto","<i>Capão Alto</i>","6185","<b>1</b>","1"
"Frei Rogério","<i>Frei Rogério</i>","6224","<b>0</b>","0"
"Silves","<i>Silves</i>","10189","<b>0</b>","0"
"Jaguapitã","<i>Jaguapitã</i>","5901","<b>2</b>","2"
"Nova Viçosa","<i>Nova Viçosa</i>","8042","<b>1</b>","1"
"Novo Brasil","<i>Novo Brasil</i>","7606","<b>2</b>","2"
"Salesópolis","<i>Salesópolis</i>","8775","<b>1</b>","1"
"Luzerna","<i>Luzerna</i>","6283","<b>1</b>","1"
"Ouro","<i>Ouro</i>","6309","<b>1</b>","1"
"Divinópolis de Goiás","<i>Divinópolis de Goiás</i>","7531","<b>3</b>","3"
"Bom Jesus do Tocantins","<i>Bom Jesus do Tocantins</i>","5595","<b>2</b>","2"
"São Bento do Trairí","<i>São Bento do Trairí</i>","6555","<b>1</b>","1"
"Atibaia","<i>Atibaia</i>","8318","<b>5</b>","5"
"Cosmorama","<i>Cosmorama</i>","8414","<b>0</b>","0"
"Itobi","<i>Itobi</i>","8542","<b>0</b>","0"
"Rio Tinto","<i>Rio Tinto</i>","6758","<b>0</b>","0"
"Jucati","<i>Jucati</i>","9941","<b>1</b>","1"
"Umburanas","<i>Umburanas</i>","8161","<b>1</b>","1"
"São Pedro dos Ferros","<i>São Pedro dos Ferros</i>","10962","<b>0</b>","0"
"Pirapora","<i>Pirapora</i>","10810","<b>4</b>","4"
"Morpará","<i>Morpará</i>","8022","<b>2</b>","2"
"Tiros","<i>Tiros</i>","11019","<b>0</b>","0"
"Novo Machado","<i>Novo Machado</i>","9559","<b>2</b>","2"
"Belém do Piauí","<i>Belém do Piauí</i>","6916","<b>1</b>","1"
"Lavras","<i>Lavras</i>","10648","<b>4</b>","4"
"Vera Cruz","<i>Vera Cruz</i>","8906","<b>0</b>","0"
"Quatro Barras","<i>Quatro Barras</i>","6022","<b>4</b>","4"
"Grupiara","<i>Grupiara</i>","10528","<b>0</b>","0"
"São Sebastião de Lagoa de Roça","<i>São Sebastião de Lagoa de Roça</i>","6791","<b>3</b>","3"
"Piaçabuçu","<i>Piaçabuçu</i>","10106","<b>1</b>","1"
"São José da Barra","<i>São José da Barra</i>","10950","<b>1</b>","1"
"Senador Salgado Filho","<i>Senador Salgado Filho</i>","9697","<b>0</b>","0"
"Juazeiro do Piauí","<i>Juazeiro do Piauí</i>","7000","<b>1</b>","1"
"Lastro","<i>Lastro</i>","6699","<b>0</b>","0"
"Catende","<i>Catende</i>","9894","<b>1</b>","1"
"Salgueiro","<i>Salgueiro</i>","9985","<b>2</b>","2"
"Serra dos Aimorés","<i>Serra dos Aimorés</i>","10995","<b>0</b>","0"
"Terra Roxa","<i>Terra Roxa</i>","8878","<b>1</b>","1"
"Salgado de São Félix","<i>Salgado de São Félix</i>","6760","<b>3</b>","3"
"Ariranha do Ivaí","<i>Ariranha do Ivaí</i>","5756","<b>0</b>","0"
"Saltinho","<i>Saltinho</i>","6358","<b>0</b>","0"
"Agricolândia","<i>Agricolândia</i>","6893","<b>1</b>","1"
"Prata","<i>Prata</i>","6746","<b>1</b>","1"
"Paulistas","<i>Paulistas</i>","10776","<b>2</b>","2"
"Grossos","<i>Grossos</i>","6476","<b>1</b>","1"
"Toropi","<i>Toropi</i>","9722","<b>0</b>","0"
"Cotia","<i>Cotia</i>","8415","<b>10</b>","10"
"Solidão","<i>Solidão</i>","10010","<b>1</b>","1"
"Barbalha","<i>Barbalha</i>","7138","<b>8</b>","8"
"Uberaba","<i>Uberaba</i>","11034","<b>9</b>","9"
"Tupirama","<i>Tupirama</i>","9051","<b>1</b>","1"
"Anísio de Abreu","<i>Anísio de Abreu</i>","6902","<b>1</b>","1"
"São Caetano de Odivelas","<i>São Caetano de Odivelas</i>","5690","<b>1</b>","1"
"Anagé","<i>Anagé</i>","7775","<b>4</b>","4"
"Luisburgo","<i>Luisburgo</i>","10656","<b>0</b>","0"
"Porto Vitória","<i>Porto Vitória</i>","6014","<b>3</b>","3"
"Massaranduba","<i>Massaranduba</i>","6291","<b>1</b>","1"
"Araújos","<i>Araújos</i>","10254","<b>0</b>","0"
"Santa Cruz do Rio Pardo","<i>Santa Cruz do Rio Pardo</i>","8790","<b>2</b>","2"
"Boa Vista do Sul","<i>Boa Vista do Sul</i>","9319","<b>0</b>","0"
"Jordão","<i>Jordão</i>","6878","<b>2</b>","2"
"Igarapava","<i>Igarapava</i>","8500","<b>3</b>","3"
"Jataizinho","<i>Jataizinho</i>","5909","<b>0</b>","0"
"Formoso","<i>Formoso</i>","7529","<b>1</b>","1"
"Bonfim","<i>Bonfim</i>","10200","<b>1</b>","1"
"Assis","<i>Assis</i>","8317","<b>4</b>","4"
"Pedras de Fogo","<i>Pedras de Fogo</i>","6734","<b>3</b>","3"
"Lajinha","<i>Lajinha</i>","10643","<b>3</b>","3"
"Adelândia","<i>Adelândia</i>","7444","<b>1</b>","1"
"Campo Grande do Piauí","<i>Campo Grande do Piauí</i>","6936","<b>1</b>","1"
"Medina","<i>Medina</i>","10690","<b>2</b>","2"
"Mariluz","<i>Mariluz</i>","5941","<b>1</b>","1"
"Iporá","<i>Iporá</i>","7553","<b>0</b>","0"
"Queimados","<i>Queimados</i>","8239","<b>10</b>","10"
"Nova Aliança","<i>Nova Aliança</i>","8638","<b>1</b>","1"
"Limeira do Oeste","<i>Limeira do Oeste</i>","10654","<b>0</b>","0"
"Itapura","<i>Itapura</i>","8534","<b>1</b>","1"
"Patrocínio do Muriaé","<i>Patrocínio do Muriaé</i>","10774","<b>0</b>","0"
"Claraval","<i>Claraval</i>","10392","<b>1</b>","1"
"Ponte Alta do Norte","<i>Ponte Alta do Norte</i>","6334","<b>1</b>","1"
"Itamari","<i>Itamari</i>","7948","<b>2</b>","2"
"Mogeiro","<i>Mogeiro</i>","6715","<b>4</b>","4"
"Catuji","<i>Catuji</i>","10380","<b>1</b>","1"
